Scholarship Name,Provider,Amount,Closing Date,Degree(s),Status,Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC Indigenous Student Award Program,BC Scholarship Society,"$3,000 - $5,000",4/2/2025,"Applied bachelor, Apprenticeship program, Associate degree, Bachelor, Certificate, Diploma, Masters, Medical doctorate, Phd, Postdoctoral fellowship, Professional degree, Technical diploma, Vocational technical",N/A,https://universitystudy.ca/scholarship/12745/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC Indigenous Student Award Program,BC Scholarship Society,"$5,000",4/1/2025,"Pre university diploma, Apprenticeship program, Associate degree, Bachelor, Graduate degree, Certificate, Diploma, Masters, Medical doctorate, Phd",N/A,https://universitystudy.ca/scholarship/14939/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDC Scholarship,Business Development Bank of Canada,"$2,500",5/15/2024,Bachelor,N/A,https://universitystudy.ca/scholarship/13369/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDC Scholarship,Business Development Bank of Canada,"$2,500",5/15/2024,N/A,N/A,https://universitystudy.ca/scholarship/13624/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beedie Graduate Award Studies,Beedie Luminaries Foundation,"$25,000",8/2/2024,N/A,N/A,https://universitystudy.ca/scholarship/13625/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beedie Luminaries Grade 12 Scholarship,Beedie Luminaries,"$44,000",1/7/2026,"Pre university diploma, Apprenticeship program, Associate degree, Bachelor",Opening soon,https://universitystudy.ca/scholarship/12380/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beedie Luminaries Single Parent Award,Beedie Luminaries,"$44,000",4/21/2025,"Pre university diploma, Apprenticeship program, Associate degree, Bachelor",N/A,https://universitystudy.ca/scholarship/12381/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEEDIE RISE,Beedie Luminaries Foundation,"$11,000",1/31/2024,"Bachelor, Certificate, Diploma",N/A,https://universitystudy.ca/scholarship/13534/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEEDIE RISE,Beedie Luminaries Foundation,"$5,500",1/31/2024,Graduate degree,N/A,https://universitystudy.ca/scholarship/13650/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beedie SHINE Scholarship Program,Beedie Luminaries Foundation,"$11,000",1/8/2024,"Diploma, Technical diploma, Vocational technical",N/A,https://universitystudy.ca/scholarship/13613/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
